,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,107,,B2,62-16 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B2,"773,870",7/17/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16007,27,,B2,62-11 ALMEDA AVENUE,,11692,2,0,2,"4,000","2,106",2013,1,B2,"748,000",12/28/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16008,28,,B2,6211 BURCHELL ROAD,,11692,2,0,2,"4,000","2,000",2004,1,B2,"625,000",7/24/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,10,,B2,618 BEACH 64 STREET,,11692,2,0,2,"3,400","2,068",1996,1,B2,"699,999",5/19/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,30,,B2,6-39 BEACH 63 STREET,,11692,2,0,2,"3,400","2,068",1996,1,B2,"625,000",11/6/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,48,,B2,609 BEACH 63 STREET,,11692,2,0,2,"3,400","2,068",1996,1,B2,"764,181",10/23/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,48,,B2,609 BEACH 63RD STREET,,11692,2,0,2,"3,400","2,068",1996,1,B2,100,10/11/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,11,,B3,622 BEACH 67 STREET,,11692,2,0,2,"2,700","1,422",1940,1,B3,0,6/5/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,40,,B2,611 BEACH 66 STREET,,11692,2,0,2,"4,000","2,150",2001,1,B2,"965,404",2/14/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,13,,B2,628 BEACH 68TH STREET,,11692,2,0,2,"3,000","2,306",2022,1,B2,"955,000",9/15/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,15,,B2,630 BEACH 68TH STREET,,11692,2,0,2,"3,000","2,416",2022,1,B2,"957,155",9/27/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,17,,B2,N/A BEACH 68TH STREET,,11692,2,0,2,"3,000","2,416",2022,1,B2,"992,794",8/10/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,18,,B2,N/A BEACH 68TH STREET,,11692,2,0,2,"3,000","2,306",2022,1,B2,"935,000",6/8/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,60,,B2,623 BEACH 67TH STREET,,11692,2,0,2,"4,000","2,970",2018,1,B2,"1,024,627",12/29/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,22,,B9,642 BEACH 69 STREET,,11692,2,0,2,"2,725","1,848",1960,1,B9,20,6/20/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16030,7,,B9,514 BEACH 64TH STREET,,11692,2,0,2,"3,450","1,974",1960,1,B9,0,4/29/23
